#{"t_start": 1724446211.941949, "env_id": "CustomHopper-source-v0"}
r,l,t
15.760153,16,0.006298
11.400468,13,0.01033
13.609694,17,0.015093
9.350161,21,0.020787
13.341557,17,0.025155
12.579777,15,0.029059
5.340226,10,0.031805
11.047749,16,0.036065
5.02289,9,0.038419
13.871648,32,0.046396
46.300515,33,0.054724
16.948721,17,0.059181
6.551971,9,0.061713
9.317902,18,0.066354
8.244629,13,0.069831
12.257465,15,0.074222
14.324491,20,0.079789
46.258398,45,0.092067
7.553105,15,0.096137
15.913354,16,0.100322
4.128133,25,0.106843
9.810524,13,0.110249
8.625855,18,0.114843
8.567534,26,0.121769
6.634764,13,0.12519
77.200972,69,0.142993
13.560521,14,0.14673
10.449336,18,0.151427
27.494209,24,0.1577
8.6376,13,0.161203
10.219866,18,0.166281
22.635482,23,0.172207
9.208709,16,0.176471
5.031934,8,0.17853
14.091849,14,0.182155
5.718503,10,0.184802
6.76279,11,0.187624
333.502132,273,0.246096
161.122031,181,0.284784
242.395699,201,0.327208
185.545026,208,0.371349
294.411418,247,0.423545
8.896534,14,0.431164
14.677962,27,0.4381
6.477497,11,0.441051
5.070934,10,0.443728
8.844504,14,0.447469
23.8206,25,0.453878
18.998431,17,0.458324
24.583476,21,0.463689
12.550341,29,0.47129
33.991223,26,0.478106
24.132039,21,0.483495
29.541478,26,0.490075
9.440304,12,0.493367
5.134449,9,0.495704
4.02762,8,0.497782
13.766027,23,0.503893
12.493059,19,0.509104
5.878228,12,0.512095
14.164996,18,0.516701
10.565646,17,0.521274
13.074689,24,0.527444
38.511852,41,0.538143
8.920972,16,0.542328
35.201215,47,0.55468
15.303252,16,0.559012
6.170075,9,0.56144
9.40349,11,0.564347
5.239108,9,0.566635
16.173643,21,0.572145
3.572534,9,0.574582
7.924309,17,0.579077
12.863176,14,0.582635
12.377387,17,0.587138
15.119589,21,0.592899
5.427169,10,0.595482
10.136595,15,0.599353
27.418765,24,0.605554
11.767479,17,0.609866
292.159438,253,0.665043
253.07401,260,0.720604
187.811149,211,0.764783
181.333957,200,0.807288
302.272145,261,0.862401
6.674407,16,0.867431
3.481006,15,0.871394
8.759588,16,0.875427
8.672828,12,0.878648
8.549085,13,0.882202
11.372531,16,0.8864
6.901193,10,0.888815
55.638996,47,0.90116
7.81253,13,0.904675
13.048355,18,0.909462
6.017071,8,0.911657
32.396209,33,0.920092
13.486454,16,0.924118
8.629685,13,0.927553
8.999558,23,0.933417
82.467572,51,0.946513
7.905663,10,0.949207
9.247292,18,0.953897
21.143448,20,0.959212
24.54637,31,0.96704
7.816892,9,0.969546
14.45574,16,0.973668
6.79431,15,0.977838
10.865779,24,0.984116
11.838701,19,0.989156
8.790847,26,0.995704
9.9419,13,0.998973
8.063273,12,1.002226
8.494797,14,1.005935
14.793527,15,1.00989
7.009773,11,1.012847
16.379351,17,1.017124
7.926029,11,1.020056
15.829312,16,1.024326
16.990783,18,1.028949
36.507164,31,1.412945
6.065065,15,1.41753
9.614158,12,1.420906
76.886813,47,1.43353
74.497575,46,1.444112
74.660598,46,1.454251
76.916758,47,1.464739
74.895475,46,1.474824
7.316527,34,1.484809
6.244245,13,1.488459
142.030064,71,1.506969
17.914878,16,1.511314
25.609123,36,1.520894
9.770691,22,1.526835
43.404242,33,1.535492
18.333199,23,1.541788
19.283523,18,1.546522
8.238108,16,1.550824
9.009431,17,1.555527
20.440679,33,1.564172
14.439599,15,1.568205
75.590234,51,1.581556
23.489872,22,1.587196
35.713629,35,1.596386
76.700554,47,1.608253
27.465389,27,1.615315
9.982001,16,1.619457
70.941238,40,1.630095
18.283231,17,1.634454
5.497238,8,1.636679
3.906946,7,1.638661
81.876705,57,1.653757
76.70274,47,1.671006
76.670877,47,1.681241
74.417544,46,1.691245
74.65972,46,1.701249
76.80991,47,1.711452
77.545108,43,1.723447
16.108478,30,1.731498
37.761588,29,1.739232
7.5208,10,1.741957
11.563775,13,1.745418
56.507607,54,1.759581
69.35992,66,1.776462
19.486042,23,1.782698
14.344864,16,1.786946
17.565954,30,1.794683
15.935339,19,1.799735
26.350034,36,1.809505
102.556163,64,1.825702
26.321729,21,1.830985
69.733392,58,1.84611
78.616953,62,1.86197
17.614393,17,1.866623
75.105021,48,1.878809
12.327049,15,1.883018
8.069358,10,1.885833
76.640269,47,1.905468
74.391604,46,1.915445
72.789,45,1.925252
76.921371,47,1.935584
74.711123,46,1.945469
58.071811,40,1.956557
12.229067,15,1.960329
32.434195,27,1.967577
158.550298,90,1.990658
25.352546,24,1.997018
8.755154,19,2.001947
11.571559,12,2.005236
64.177363,37,2.014817
16.42095,16,2.019169
31.340076,31,2.027285
17.505894,31,2.035595
11.522196,14,2.039383
54.954577,44,2.050855
69.428073,42,2.061745
11.493877,19,2.066872
28.685435,23,2.072805
8.250712,11,2.075764
54.9373,48,2.08868
25.528178,23,2.094441
21.673125,22,2.099958
12.202409,16,2.479027
13.494566,15,2.483519
64.638984,39,2.494546
64.121062,38,2.514621
66.425206,39,2.523182
64.097841,38,2.531571
63.760757,38,2.540005
63.994612,38,2.548374
15.926668,15,2.553502
35.653772,42,2.564851
118.698485,64,2.581639
23.459091,18,2.586616
10.205524,19,2.591642
15.322574,15,2.595539
97.18338,59,2.611154
95.898934,52,2.624734
21.356087,21,2.630258
147.679432,94,2.655068
103.827819,58,2.670174
7.603486,13,2.673638
13.157983,17,2.677991
54.576982,63,2.694624
13.731726,14,2.698418
107.574486,65,2.715483
54.232121,40,2.726043
9.103308,12,2.729395
64.089453,38,2.742671
65.833742,39,2.751127
66.342308,39,2.759469
66.337239,39,2.767905
64.357606,38,2.775954
12.15344,12,2.780051
15.33228,22,2.785923
83.764419,101,2.812388
76.21541,47,2.824833
52.827702,36,2.834321
8.345099,15,2.838417
47.722619,28,2.845786
106.246391,62,2.861652
6.408151,11,2.864527
15.485138,16,2.868699
18.534394,16,2.87283
25.324697,25,2.879533
18.782958,20,2.885025
121.157725,68,2.902691
25.165576,27,2.910034
22.146761,23,2.916293
64.681164,54,2.930277
54.982187,38,2.940359
44.709773,35,2.949286
18.804818,20,2.954633
64.268093,38,2.969374
62.393433,37,2.977395
65.920969,39,2.985888
63.995266,38,2.994091
65.768582,39,3.002585
7.019896,13,3.006848
14.595491,15,3.010695
40.015017,28,3.018031
24.139675,42,3.029078
125.927205,74,3.048592
24.439524,38,3.0587
24.604664,50,3.071787
60.183533,35,3.080868
193.149845,94,3.105507
8.199224,11,3.108478
11.843867,14,3.112066
7.700209,10,3.114606
18.860755,18,3.119559
103.66225,53,3.133183
16.718993,33,3.141999
37.063769,33,3.527211
11.053707,13,3.531046
193.026261,85,3.554045
11.772974,13,3.557696
61.422967,36,3.573196
61.243338,36,3.581176
61.264826,36,3.588981
59.290859,35,3.59685
59.386582,35,3.604329
20.606994,21,3.611497
33.06022,29,3.618946
74.935368,40,3.629627
101.559706,64,3.646858
93.134228,56,3.66158
109.537118,56,3.676481
41.55177,24,3.682732
73.253749,42,3.693964
110.227448,58,3.70945
21.624268,21,3.715124
121.56132,69,3.733255
66.340572,42,3.744344
40.423317,31,3.752509
41.073402,45,3.764528
32.754623,29,3.772107
41.545935,38,3.782276
61.55405,36,3.799128
61.447347,36,3.807025
58.852011,35,3.814456
58.978347,35,3.821964
59.188825,35,3.829751
190.139281,83,3.85249
8.935535,17,3.857005
17.590005,17,3.861277
57.745826,67,3.879041
73.148593,47,3.891505
60.353223,35,3.900857
5.973058,10,3.903429
55.703171,32,3.911871
13.218917,26,3.918855
74.280985,41,3.929717
55.411396,37,3.93936
31.927666,45,3.951418
26.798893,23,3.957451
122.587307,91,3.981188
117.264336,75,4.000998
45.204539,44,4.012465
59.315864,35,4.022688
59.352616,35,4.030372
58.940247,35,4.037965
63.361398,37,4.045904
59.12096,35,4.053606
11.244752,17,4.058767
64.62559,37,4.068412
21.735558,21,4.074152
75.615777,43,4.085923
82.315583,64,4.102121
116.737974,57,4.11698
43.38728,35,4.126331
14.710051,17,4.130801
15.090942,14,4.13457
138.937457,76,4.154227
147.17607,70,4.172161
48.86823,28,4.179262
76.547585,44,4.568021
74.904455,40,4.578883
68.318237,49,4.592127
75.487639,43,4.60348
57.767817,34,4.623164
59.334919,35,4.63083
59.543683,35,4.638261
57.825219,34,4.645816
59.714339,35,4.653539
98.753789,54,4.669282
89.519101,49,4.682605
95.487162,51,4.695737
99.009285,66,4.713044
170.107055,77,4.733154
207.466211,88,4.755954
125.647074,63,4.772232
112.518617,75,4.791662
122.361538,61,4.807631
42.96296,32,4.815858
79.518978,46,4.827856
58.159611,34,4.845191
58.017215,34,4.852479
57.588608,34,4.859639
57.922327,34,4.867303
59.797698,35,4.87468
65.286856,37,4.884826
61.604744,36,4.894267
96.797846,68,4.912145
107.796196,56,4.926428
113.767845,84,4.94838
67.472774,39,4.958289
30.617266,26,4.965273
18.820184,20,4.970501
73.342333,47,4.983125
79.107713,48,4.9959
32.025866,26,5.002975
24.349893,22,5.008814
75.066883,41,5.019217
215.249464,98,5.045145
85.484133,46,5.057083
57.712518,34,5.066077
57.741004,34,5.073498
55.981844,33,5.080615
57.93994,34,5.087871
57.500711,34,5.095193
9.790037,12,5.099354
168.251006,81,5.120143
80.830161,45,5.131546
152.079146,72,5.150293
139.833643,66,5.166993
176.277039,83,5.188298
55.406192,37,5.197736
42.979745,30,5.205883
10.304398,14,5.209523
80.190546,44,5.597285
56.992709,33,5.60649
98.714246,52,5.620119
150.499369,70,5.638467
56.322007,33,5.661879
54.339927,32,5.669023
56.735865,33,5.676196
56.38947,33,5.683209
56.302552,33,5.690685
85.272098,45,5.70332
71.828341,40,5.714103
193.945195,84,5.736214
154.964768,71,5.75483
50.771312,38,5.764814
97.1749,51,5.77775
84.753246,49,5.790836
20.554837,18,5.795652
51.549095,36,5.805062
204.052468,99,5.830757
13.711481,17,5.835273
29.119053,25,5.84172
220.859119,116,5.871642
56.600636,33,5.881758
56.467771,33,5.888921
56.487077,33,5.896109
54.958133,32,5.903117
54.492196,32,5.910087
90.416614,49,5.923442
95.942574,52,5.937211
70.624756,45,5.948759
80.352102,45,5.960493
84.062111,46,5.972492
79.276369,46,5.984399
48.63756,28,5.991877
61.81389,36,6.001523
124.583882,66,6.018749
67.838721,39,6.028891
158.237483,97,6.053777
106.499427,55,6.068132
95.213125,52,6.081663
77.786945,42,6.092571
54.270863,32,6.100393
56.550563,33,6.107644
58.241683,34,6.114977
56.7098,33,6.122093
56.619763,33,6.129212
67.690386,46,6.142071
54.880739,31,6.150364
63.408775,36,6.159791
98.134847,56,6.174368
111.691065,57,6.189271
50.361304,29,6.19694
84.920906,46,6.209253
76.048599,43,6.220402
180.128044,82,6.61897
141.481934,80,6.640008
103.828942,54,6.654583
124.987306,61,6.670713
84.87091,47,6.683086
55.284252,32,6.698672
53.537468,31,6.705638
59.110904,34,6.712834
57.035134,33,6.720132
55.282849,32,6.727108
202.658928,86,6.750512
26.365788,24,6.756903
30.007307,24,6.763238
215.4298,103,6.789673
206.24931,109,6.817885
47.644428,34,6.826751
212.806562,94,6.851525
81.19413,46,6.863424
194.365084,91,6.886714
49.598034,31,6.895018
115.050545,58,6.910343
