#{"t_start": 1724501887.995232, "env_id": "CustomHopper-source-v0"}
r,l,t
8.624191,14,0.017646
7.551693,10,0.021593
11.095929,16,0.025944
93.467291,59,0.043421
31.719825,26,0.050404
5.182033,17,0.055268
7.34847,14,0.059623
4.959438,9,0.062407
7.091445,16,0.066788
10.075341,16,0.071359
11.236024,12,0.074644
19.283116,18,0.079848
9.49953,12,0.083122
16.945363,23,0.089617
5.731755,14,0.093522
4.873164,12,0.097173
7.679801,12,0.100598
4.589212,9,0.10331
21.55268,21,0.108962
9.078478,16,0.114817
22.264923,22,0.120893
71.415901,62,0.138111
12.440868,13,0.141665
122.763539,82,0.164382
11.869453,13,0.167998
12.579435,25,0.175156
6.792053,14,0.179228
5.56103,10,0.182019
11.221911,19,0.187362
11.125079,21,0.192938
8.679321,11,0.196259
13.450483,17,0.201079
18.012949,29,0.209029
5.127809,9,0.213474
13.071709,17,0.21755
8.795941,11,0.220475
10.054065,15,0.224435
10.636565,17,0.228618
6.904439,22,0.234392
17.611065,27,0.241249
12.516311,14,0.244888
7.683636,10,0.247472
8.119156,13,0.250951
7.117735,11,0.254266
8.905146,12,0.257843
6.950386,9,0.260517
27.333992,25,0.266807
13.009386,14,0.270209
14.449752,21,0.275597
12.395981,14,0.279203
41.982777,30,0.28694
4.578571,8,0.289165
5.569176,25,0.295716
6.303894,12,0.298872
12.663052,19,0.304029
13.095795,18,0.308872
9.160153,12,0.312046
10.276135,14,0.316993
7.502238,13,0.32034
10.469298,15,0.324317
32.090588,29,0.331965
6.456308,11,0.334909
7.132189,14,0.338588
5.215473,17,0.343189
41.725563,44,0.354664
7.79894,18,0.359679
57.23166,55,0.373967
10.740144,15,0.377945
5.65606,27,0.385107
17.68003,26,0.391899
5.979898,10,0.394702
6.090775,14,0.398473
13.418869,17,0.402898
8.341724,22,0.408617
6.515811,9,0.411063
8.852309,10,0.413684
13.949074,23,0.420899
16.954544,25,0.427584
5.026032,9,0.429986
12.555105,25,0.436661
7.585812,17,0.441131
6.168874,9,0.443578
11.399722,12,0.446747
5.912228,14,0.450559
14.24743,14,0.454208
13.474601,33,0.463033
4.168598,7,0.465058
10.338969,14,0.46897
20.687915,20,0.474098
35.467473,39,0.484304
5.095992,8,0.486445
17.70415,19,0.491562
27.973692,29,0.49901
13.840101,15,0.50301
12.485932,18,0.507855
7.125652,27,0.515187
10.662291,15,0.520078
4.649073,19,0.525601
24.10703,29,0.533546
7.787329,14,0.537227
4.937676,15,0.541219
8.546315,12,0.54463
13.072444,14,0.548405
13.628334,15,0.552327
6.946556,14,0.556193
6.764621,12,0.559526
5.268208,11,0.562726
4.485353,13,0.566379
7.806185,13,0.569994
