#{"t_start": 1724524147.7140648, "env_id": "CustomHopper-source-v0"}
r,l,t
26.672151,42,0.031455
10.14125,12,0.035764
14.50774,25,0.043534
9.618345,12,0.047874
7.350457,12,0.052265
16.352016,22,0.059341
26.947544,25,0.067385
9.787876,17,0.073142
5.911992,9,0.076883
80.858436,46,0.089824
13.910013,15,0.095208
21.350387,23,0.102639
10.241579,15,0.107857
49.889869,51,0.123432
9.436199,15,0.12884
58.240274,49,0.14285
30.129659,27,0.151154
12.313409,23,0.15872
8.249964,11,0.163049
21.484543,25,0.170946
18.477739,29,0.179899
13.434653,30,0.189121
9.793641,32,0.198728
7.205562,8,0.202133
23.823462,25,0.210313
12.16415,18,0.217476
8.089802,13,0.222722
11.573388,13,0.227649
107.626311,61,0.244397
25.864451,28,0.253212
4.81278,9,0.25689
6.463314,12,0.261485
25.666125,23,0.268874
10.305426,14,0.273919
8.958789,16,0.279513
7.978225,17,0.285322
24.462547,39,0.296875
5.427984,12,0.301495
6.386063,21,0.308673
5.192514,11,0.314103
13.832606,13,0.318549
5.170252,11,0.32308
20.708599,26,0.33138
14.714718,20,0.337873
25.615246,24,0.345629
6.862967,11,0.349899
12.5087,16,0.355438
8.985984,16,0.361026
63.478805,37,0.372125
17.511845,17,0.377989
6.912748,11,0.382396
9.741105,16,0.387957
15.423365,23,0.3955
25.536274,29,0.404412
10.653513,18,0.410397
10.835893,24,0.419391
14.649982,19,0.425904
6.845239,11,0.430306
1.506806,14,0.435534
5.758308,16,0.441311
4.41585,15,0.446504
52.787617,35,0.456722
23.230871,31,0.46648
4.571408,16,0.472038
14.699618,14,0.47721
17.812273,18,0.48324
9.862394,11,0.487515
6.893387,29,0.496841
13.621638,17,0.502847
5.314058,13,0.507724
24.748532,22,0.516167
69.491155,54,0.531417
6.246507,10,0.53529
6.26065,9,0.538898
7.300816,11,0.543239
20.260578,20,0.550128
7.370529,10,0.554106
28.046702,26,0.562171
7.749222,10,0.566072
16.784645,28,0.574991
6.221989,10,0.578999
8.60826,14,0.583886
3.474269,12,0.588466
15.441164,17,0.594364
15.482856,22,0.601329
28.813539,28,0.609926
24.628396,29,0.620323
6.94716,15,0.625242
4.151996,7,0.628217
15.715999,18,0.633873
25.908098,24,0.6415
7.291112,16,0.647507
9.983384,15,0.652989
8.87198,12,0.657797
20.229592,29,0.667059
7.786101,10,0.671107
6.372584,8,0.674656
12.838748,24,0.682792
10.415553,11,0.687302
23.190775,18,0.693458
7.456691,9,0.697194
13.42928,17,0.703326
27.583012,31,1.115849
90.965386,58,1.135428
7.3986,10,1.140053
34.203499,42,1.153636
125.433214,71,1.175168
22.909811,30,1.185727
35.265165,33,1.196331
7.633312,10,1.200717
30.990103,29,1.210333
5.449941,13,1.215647
103.003648,75,1.239173
22.909534,22,1.246941
16.749203,21,1.254301
7.279086,18,1.261034
7.971524,17,1.267162
35.868534,36,1.279008
85.63895,54,1.295582
31.453491,26,1.304145
2.291585,23,1.312002
66.044588,43,1.325045
8.460277,12,1.330792
47.96479,58,1.348104
15.975597,18,1.354787
84.85671,56,1.369811
109.270045,80,1.390572
18.505689,23,1.398155
8.081266,14,1.403185
45.114644,37,1.414234
10.361032,13,1.418902
10.779421,14,1.423965
36.603955,27,1.433826
23.384943,24,1.440765
2.728502,25,1.449179
27.097693,25,1.457436
17.504641,19,1.463814
22.48448,28,1.473
7.644253,11,1.477333
13.206184,12,1.482243
14.276413,15,1.488089
6.726207,10,1.492258
49.671297,40,1.504736
8.063644,15,1.510123
11.498648,13,1.515107
31.791129,29,1.524793
17.041605,17,1.532203
11.574669,15,1.537534
15.064902,27,1.546661
9.822021,11,1.551291
18.153157,39,1.563591
13.079982,19,1.570417
24.688349,28,1.579546
14.292173,23,1.587569
5.205919,12,1.592297
9.244024,16,1.598296
4.528281,8,1.602011
6.036656,12,1.606882
13.483772,17,1.613473
15.033761,15,1.618963
11.496453,20,1.626232
17.661045,25,1.636089
15.82613,17,1.642278
27.108312,26,1.650805
133.403038,68,1.670893
8.445302,10,1.675229
68.035185,39,1.687491
13.326381,14,1.692595
19.182778,17,1.698617
7.158829,11,1.703323
138.526702,92,1.730157
70.106543,50,1.746624
14.088997,16,1.752199
9.553207,11,1.756664
45.134517,31,1.766297
62.58852,53,1.780949
8.817649,15,2.502399
89.650266,50,2.522605
134.519682,70,2.546818
9.841393,13,2.551759
32.611428,27,2.561312
61.230415,38,2.573262
26.932455,28,2.583166
11.643056,13,2.588367
14.735514,15,2.594046
42.723067,46,2.6087
51.808133,33,2.619296
72.62834,41,2.632635
107.814315,53,2.650175
26.776947,39,2.660817
23.595072,39,2.673308
57.642197,33,2.683259
78.312151,44,2.697268
55.566078,48,2.71195
27.109445,25,2.720224
24.92329,27,2.729361
95.272624,53,2.747192
47.966927,36,2.758545
14.848497,22,2.766238
116.20562,62,2.784405
19.530763,18,2.79093
68.753981,40,2.809507
62.870042,37,2.817986
64.380134,38,2.826284
64.249391,38,2.834853
64.482045,38,2.843268
14.715986,19,2.859426
50.639641,40,2.871985
163.80338,93,2.89894
74.397008,38,2.911099
116.238356,66,2.930815
75.224092,47,2.945615
110.250078,71,2.967938
96.159975,56,2.985577
125.413766,71,3.007075
82.25853,43,3.021572
248.093967,115,3.052229
68.926893,37,3.062648
10.996242,14,3.067789
4.387425,8,3.071365
79.997374,49,3.084908
144.539253,74,3.106373
25.486372,24,3.114217
71.564406,45,3.128122
17.230538,16,3.133981
51.015211,30,3.143517
36.171687,47,3.158856
41.653012,30,3.169004
28.393851,24,3.17724
89.329784,61,3.196117
10.145419,15,3.201782
71.343838,40,4.130141
22.863484,24,4.139059
