#{"t_start": 1724772752.1111805, "env_id": "CustomHopper-source-v0"}
r,l,t
6.100928,10,1.14184
17.240119,19,1.16289
7.630212,11,1.175869
8.41859,9,1.188242
24.08278,22,1.212068
22.069802,25,1.235814
6.681085,16,1.254178
9.119077,15,1.271627
8.103267,10,1.284003
9.070584,14,1.298018
8.046564,25,1.325255
8.455606,12,1.340403
13.454243,25,1.367437
7.160618,11,1.378039
4.07607,8,1.388242
5.343658,22,1.412993
17.309074,18,1.432507
8.166378,14,1.446801
9.554659,13,1.463081
14.151473,32,1.498831
8.414753,14,1.512921
13.367669,16,1.5316
12.622061,13,1.545179
10.446165,14,1.561599
15.127966,24,1.588444
23.283162,19,1.607426
8.352487,18,1.627741
44.740137,30,1.658737
12.640805,17,1.678457
12.616823,15,1.694969
4.58087,9,1.707357
3.623601,23,1.729818
34.703612,38,1.769582
16.179917,20,1.790627
13.80796,14,1.807448
10.648202,18,1.825108
8.769463,12,1.840128
9.865548,17,1.856728
12.250666,12,1.871992
13.457359,27,1.902252
31.281107,31,1.936042
10.546731,19,1.956342
42.391428,35,1.996123
5.760143,25,2.024127
8.119796,17,2.042035
61.011972,39,2.084116
22.781898,24,2.11028
10.547247,28,2.140224
6.255425,10,2.152399
40.993993,31,2.186319
8.925645,10,2.197966
6.741313,13,2.21453
11.384804,15,2.230102
7.972357,15,2.246557
12.240221,19,2.267817
14.341936,16,2.286084
7.569777,11,2.29852
5.424109,8,2.309554
5.815575,27,2.339657
14.798417,18,2.357325
5.746674,12,2.372924
9.175112,13,2.387184
5.145047,14,2.404744
8.727041,23,2.428369
35.214912,27,2.456914
16.545783,18,2.476018
4.220477,17,2.491813
12.195961,17,2.511907
1.108046,28,2.540675
7.13699,9,2.550079
12.211024,15,2.566848
3.682887,9,2.57716
27.881799,25,2.603463
9.193969,19,2.621639
5.479769,14,2.637417
9.921242,13,2.650051
6.955541,14,2.665918
35.329665,37,2.702917
31.489522,28,2.731583
39.394315,31,2.761806
16.799707,19,2.782794
14.165606,16,2.799324
5.778879,10,2.807219
34.249589,33,2.850792
7.720452,12,2.866172
15.335412,18,2.891147
34.762145,26,2.925591
8.819177,11,2.93984
6.561363,11,2.95537
9.277347,20,2.981923
6.936293,22,3.008861
5.362654,9,3.023233
17.658056,18,3.047134
5.114621,11,3.060738
5.148596,19,3.086539
6.772594,11,3.100234
6.816923,12,3.117436
6.783777,16,3.139154
18.54654,24,3.168056
4.119943,18,3.192044
14.085857,22,3.220953
4.27162,14,3.240638
6.932015,13,3.257025
6.768226,11,3.273664
22.294582,20,3.299331
9.490534,19,3.32239
8.956378,13,3.340555
23.864491,21,3.366156
14.422994,19,3.390471
7.488045,10,3.4046
3.974105,8,3.415917
47.897039,47,3.473369
16.890342,18,4.499342
39.611725,35,4.537799
51.623358,65,4.603431
12.211648,16,4.62111
6.976696,16,4.639696
94.882588,65,4.701699
5.695826,18,4.720317
17.545928,18,4.741507
4.58937,29,4.772192
12.648584,17,4.790491
22.240943,18,4.811455
8.420992,12,4.8234
10.00984,11,4.836524
21.860892,30,4.867962
8.616118,16,4.885143
6.869385,10,4.89922
7.641806,18,4.916306
91.280671,54,4.971582
16.388244,26,4.999053
15.791029,14,5.013844
111.922835,67,5.079582
18.385044,27,5.107769
12.825377,20,5.128816
73.122771,42,5.170062
7.837861,10,5.181245
36.092843,29,5.213009
15.656804,16,5.229472
7.00502,9,5.244093
17.712294,18,5.262141
12.376513,20,5.285732
76.894427,42,5.327373
12.085369,26,5.353083
10.208225,13,5.369315
8.933686,14,5.383553
23.860339,47,5.428561
36.920828,32,5.462819
3.681865,8,5.471385
1.665954,14,5.486309
72.535006,56,5.542832
95.509713,57,5.598724
42.719029,38,5.638586
15.84827,17,5.656534
80.642805,49,5.707381
19.019499,23,5.731096
9.122126,13,5.74553
11.584026,17,5.765347
11.57304,15,5.780625
178.397922,77,5.857441
44.837461,49,5.913491
41.79212,45,5.969581
14.672664,20,5.999377
7.281474,11,6.015185
6.203645,17,6.035799
11.629109,16,6.056621
13.623167,22,6.085978
31.876085,32,6.128093
23.016194,36,6.173662
5.58672,9,6.185296
12.419378,14,6.20562
19.171817,18,6.229487
13.341867,14,6.246933
15.472822,20,6.275191
9.183378,24,6.309484
88.757946,46,6.364862
16.448964,19,6.39081
11.98171,17,6.413253
5.934541,9,6.425349
6.259103,10,6.43809
18.104504,18,6.461707
7.587653,11,6.476517
10.186799,12,6.49284
12.63383,19,6.51849
64.247021,40,6.567666
6.709524,14,6.58735
8.178648,13,6.607498
8.788346,13,6.62532
18.251685,19,6.650167
10.088858,15,6.671361
26.808341,24,6.703599
4.355295,8,6.714443
7.620082,10,6.727407
18.207501,19,6.75086
28.247994,28,6.778411
38.219194,28,7.88038
119.163843,73,7.95431
5.970594,9,7.964489
164.222049,72,8.038679
11.846782,17,8.059165
42.040846,36,8.096893
37.16201,51,8.148738
20.302796,17,8.166738
31.617932,32,8.200804
29.408021,34,8.235603
71.307435,56,8.285256
54.951774,48,8.33509
11.4689,24,8.360378
33.070782,25,8.388656
25.048671,26,8.417887
6.966367,12,8.432162
34.421393,34,8.466976
33.919477,29,8.499032
10.132178,25,8.525164
11.292384,12,8.538127
128.736067,70,8.604151
106.977709,65,8.662502
116.420854,60,8.718366
16.325288,17,8.73958
51.227179,28,8.768367
68.201976,39,8.812757
65.709456,38,8.836447
68.113183,39,8.857408
65.873706,38,8.877254
68.156845,39,8.898515
19.68211,20,8.93057
82.923033,51,8.98319
19.555431,23,9.004499
20.539461,24,9.038134
15.987574,18,9.06292
8.278561,11,9.079555
9.599741,25,9.118442
9.012353,17,9.144665
17.224985,17,9.169274
153.987044,96,9.301453
142.155329,66,9.39461
20.817595,26,9.434315
41.209242,28,9.474705
84.421087,47,9.533901
