#{"t_start": 1726048934.3087857, "env_id": "CustomHopper-target-v0"}
r,l,t
13.043651,17,0.012212
9.512492,11,0.016611
9.425332,13,0.021563
63.225189,45,0.03782
7.40057,9,0.041218
11.524149,18,0.048139
16.712838,18,0.054666
9.731609,16,0.060338
10.297888,25,0.069312
12.093519,14,0.074453
7.488198,15,0.079894
14.213757,24,0.088629
9.059357,14,0.093731
8.306561,16,0.099499
16.540853,19,0.108241
16.727319,17,0.114528
9.376104,28,0.124626
9.635737,12,0.128912
37.723338,31,0.14011
9.470628,13,0.144935
33.690916,40,0.159753
10.029854,13,0.164866
6.123064,15,0.170321
8.968874,12,0.174681
12.785635,18,0.181369
31.13122,43,0.196944
7.978734,13,0.201835
7.915665,19,0.210714
11.785691,18,0.217414
7.191631,14,0.222695
8.713333,12,0.227115
14.12035,18,0.233669
7.996331,14,0.238868
129.821997,73,0.265429
12.252421,18,0.272142
6.1361,23,0.280539
5.35613,7,0.283215
10.893083,12,0.287547
12.024652,13,0.292325
6.948127,11,0.296361
13.698701,23,0.304874
13.946426,24,0.315549
8.615921,11,0.31955
46.117862,38,0.333266
11.678015,15,0.338766
9.601898,11,0.342883
18.859258,20,0.35032
7.663551,11,0.354909
10.191335,14,0.360242
5.982465,24,0.368929
10.425175,12,0.3733
49.887965,48,0.39068
18.522124,19,0.397662
12.450268,14,0.40281
7.202,12,0.407293
15.229773,28,0.419384
4.88632,9,0.422759
17.432146,18,0.429235
26.556143,24,0.437861
10.128568,15,0.443318
13.521233,19,0.450447
21.32426,27,0.460542
11.928447,13,0.465314
42.983067,33,0.477345
58.392489,41,0.492029
6.848314,11,0.496119
38.707994,38,0.509982
7.328722,10,0.51551
11.022146,17,0.521763
17.09849,17,0.52796
19.221955,18,0.534576
12.431915,14,0.539732
6.265232,13,0.544587
16.394567,22,0.552854
5.728251,8,0.556485
5.000465,7,0.559156
5.542824,8,0.562025
12.497115,17,0.568264
13.653075,17,0.574504
19.336444,22,0.582615
12.49349,25,0.591626
10.862108,13,0.596478
6.913439,19,0.603465
15.445112,18,0.610113
9.203217,12,0.616337
10.504069,23,0.624746
31.801374,29,0.635359
8.645778,11,0.639318
8.079551,12,0.643715
6.470099,10,0.647383
66.831413,58,0.668144
14.272656,23,0.67674
7.566884,12,0.681286
12.443123,16,0.687109
9.568146,26,0.696599
31.391914,27,0.706352
12.474708,17,0.712621
81.459803,56,0.734457
13.020456,14,0.739511
16.258993,24,0.748315
