#{"t_start": 1726045062.716419, "env_id": "CustomHopper-source-v0"}
r,l,t
10.638483,14,0.020461
18.767152,21,0.032024
8.324996,24,0.04928
6.729234,22,0.05779
10.675349,13,0.062738
63.224459,43,0.078461
7.344307,27,0.08883
6.105909,10,0.093732
8.829112,12,0.098056
7.536984,14,0.103011
18.039195,16,0.110524
12.18016,16,0.116169
15.767127,18,0.122521
6.586319,20,0.129614
22.807607,23,0.138043
34.016993,39,0.153718
8.802822,12,0.158052
17.933682,43,0.173289
15.910627,18,0.179781
14.02916,21,0.187375
17.426734,19,0.194193
7.799645,13,0.198979
6.078053,31,0.212018
8.596754,15,0.217481
16.244296,42,0.2328
8.325072,18,0.23978
21.528874,26,0.25104
5.513682,12,0.255543
11.613541,23,0.263723
11.048498,17,0.269791
12.029572,20,0.27681
8.217425,13,0.281321
3.159017,19,0.288278
15.052194,21,0.295763
33.174432,39,0.311594
16.227504,23,0.319931
3.916974,9,0.323279
16.407115,37,0.336349
4.63404,10,0.340036
4.750487,8,0.343084
112.395911,59,0.365222
5.868083,12,0.369565
14.305072,16,0.37535
11.628605,18,0.381794
11.16107,15,0.387166
17.051854,22,0.395051
9.354325,11,0.399042
6.482506,10,0.402624
9.380948,22,0.412873
100.906139,67,0.436659
16.441222,23,0.444942
6.382653,13,0.449972
13.065368,29,0.461601
6.014392,21,0.469175
8.781571,20,0.476553
4.802044,8,0.479521
8.785398,17,0.485932
12.187207,19,0.492995
12.486233,15,0.498547
9.209594,26,0.508229
33.725876,30,0.520773
7.547686,14,0.52587
12.471031,17,0.532025
10.68266,13,0.536668
8.612464,10,0.540339
4.974716,10,0.544285
13.197722,20,0.552549
17.019406,19,0.561105
77.56405,52,0.579445
7.482062,14,0.584402
5.441352,12,0.588715
25.979484,35,0.601177
4.306443,12,0.605495
76.077324,50,0.625098
9.557297,19,0.6321
7.52771,12,0.636361
21.060833,35,0.648889
6.688132,15,0.654625
8.901063,11,0.660067
6.886672,12,0.664342
23.018871,20,0.671417
6.68692,10,0.674903
9.566226,29,0.685202
27.567703,24,0.69386
5.12447,9,0.697171
7.869418,12,0.701511
8.105135,13,0.706348
6.700537,12,0.71063
11.837183,18,0.718941
6.589001,13,0.723713
23.956929,28,0.733918
7.962005,15,0.739409
9.558989,15,0.744875
9.228654,18,0.751528
9.584706,24,0.761564
4.443596,9,0.76489
5.423884,12,0.769208
9.202631,11,0.773235
35.293448,36,0.786092
4.0404,9,0.789348
8.272764,14,0.794388
17.857668,22,1.340414
30.142908,22,1.349044
10.972827,16,1.354876
7.690556,14,1.360224
90.128587,64,1.383042
18.624252,21,1.39148
61.050171,50,1.408996
20.25397,24,1.417672
75.798285,66,1.442899
158.49046,82,1.472295
44.606202,41,1.486891
11.254344,16,1.492945
16.833706,16,1.498684
6.299785,10,1.502219
86.210335,73,1.527844
11.009927,12,1.534018
13.12227,28,1.544492
21.987153,34,1.556988
13.309148,32,1.56899
14.679939,13,1.573921
11.161924,15,1.579292
6.917805,15,1.584631
10.813933,15,1.590711
6.454056,9,1.594041
91.365084,60,1.615138
11.458491,13,1.619775
16.329136,18,1.62624
49.793552,38,1.641742
10.865036,17,1.647962
12.752706,16,1.653766
130.48753,69,1.678751
12.014123,16,1.684463
107.900623,59,1.705457
38.418696,33,1.717298
53.832653,57,1.739658
31.868651,28,1.749743
12.435426,14,1.754893
12.812764,17,1.761014
15.865575,20,1.768662
12.287231,13,1.773636
7.989022,17,1.779754
21.260471,25,1.788823
16.264364,18,1.795383
6.228939,9,1.798595
89.097523,52,1.816822
68.752249,41,1.831461
23.782952,18,1.839699
170.685142,87,1.870983
13.85124,14,1.876188
8.814064,13,1.880861
22.99581,30,1.891977
18.96827,23,1.900127
156.787414,98,1.934944
20.634794,24,1.945384
8.257629,13,1.950175
10.505267,14,1.955222
5.408326,8,1.95808
7.045087,10,1.961743
13.994696,19,1.968798
8.208229,13,1.973899
114.255914,58,1.99457
52.059139,43,2.009908
11.665815,14,2.015061
12.615042,14,2.020043
10.38594,13,2.024694
20.173357,27,2.034559
19.366072,17,2.042442
14.388403,14,2.047569
30.558331,27,2.057162
6.926706,9,2.060413
17.259277,17,2.066408
12.899311,14,2.07185
52.319369,43,2.676759
156.278239,81,2.716559
169.271179,93,2.74973
37.635343,27,2.761443
36.114932,30,2.772558
12.242253,30,2.785562
103.457286,59,2.815498
124.249608,69,2.840831
89.818622,49,2.860073
9.110745,15,2.865388
115.09607,58,2.88564
109.208656,67,2.909839
92.615749,52,2.928931
104.725306,82,2.959891
21.601412,19,2.966645
118.529421,67,2.990582
132.416705,65,3.013851
11.396816,17,3.020256
16.916615,18,3.026994
60.865461,36,3.038266
60.744523,36,3.048915
62.713194,37,3.061637
60.478361,36,3.072184
62.872745,37,3.083029
13.496477,35,3.108374
123.138895,73,3.135068
50.270426,49,3.152903
198.221838,91,3.186771
16.721849,18,3.193656
136.548044,71,3.219638
11.116507,13,3.224454
86.410389,52,3.243095
239.719195,123,3.289428
161.669361,106,3.327784
111.265263,63,3.350194
58.09994,69,3.376863
68.629405,40,3.390935
56.196225,43,3.406435
81.960428,51,3.424717
57.478382,39,3.438778
137.318518,70,3.463514
24.91188,22,3.473236
8.476723,21,3.480798
39.236782,28,3.490847
21.728797,23,3.499267
33.939891,34,3.512069
135.211628,65,4.087191
123.558594,62,4.109251
63.675966,38,4.123566
50.688655,30,4.135849
62.09164,41,4.150487
24.285661,22,4.158247
152.080058,70,4.182811
216.812515,109,4.233871
109.824249,56,4.254728
23.202533,28,4.264957
202.959686,97,4.301439
18.704766,19,4.308805
77.257735,51,4.328416
105.863239,55,4.348234
227.526729,111,4.390066
126.010719,69,4.414172
102.517776,54,4.434001
88.367565,49,4.452326
57.12658,50,4.470146
21.803445,19,4.477097
24.387912,28,4.48713
222.690412,102,4.525365
11.395864,15,4.530927
98.483121,51,4.550691
27.16312,28,4.560716
110.454229,87,4.593659
70.087652,40,4.607776
107.486464,56,4.62787
67.710152,39,4.642228
154.434029,72,4.667992
12.941447,14,4.673202
79.558283,45,4.689357
238.794003,130,4.737906
142.99535,71,4.763588
60.189899,36,4.77662
247.901227,157,5.447726
81.420697,46,5.468443
45.074653,35,5.482539
127.145299,70,5.507214
10.891546,15,5.514484
215.628664,97,5.559907
139.830053,71,5.585835
72.585634,42,5.6007
81.660343,45,5.618426
134.647613,68,5.647534
88.196988,110,5.692689
116.496576,63,5.716609
143.27674,72,5.744871
95.618413,51,5.77154
94.553312,53,5.790451
100.094635,53,5.808985
101.475031,56,5.83116
35.581392,39,5.844845
15.911133,30,5.856322
67.731097,38,5.869689
65.187551,37,5.883662
25.512442,28,5.893878
110.347946,59,5.914681
96.572157,62,5.938234
56.963223,49,5.955902
98.649427,51,5.974887
150.235546,79,6.002843
35.58648,58,6.025423
116.106761,59,6.04627
114.410171,65,6.069858
133.866809,65,6.093722
161.424026,74,6.119981
81.930519,59,6.142764
69.077838,39,6.155173
71.052771,40,6.166997
70.994447,40,6.17926
67.225622,38,6.190423
68.760714,39,6.201871
9.727448,22,6.220728
136.064803,73,6.249911
113.832444,58,6.271369
155.305234,76,6.298269
130.22436,64,6.872849
107.612688,58,6.894284
88.411416,55,6.913564
172.403945,81,6.944008
93.343126,55,6.963198
210.280669,99,6.998284
92.095927,50,7.016118
186.762647,87,7.048364
143.376408,73,7.074203
151.066022,80,7.103086
234.818123,110,7.142241
219.82663,98,7.178334
187.13325,88,7.210003
220.410727,99,7.244756
231.540958,107,7.283844
101.143012,54,7.303525
163.189953,79,7.331359
109.072783,57,7.353791
200.136052,92,7.387739
128.110542,64,7.410693
104.883098,59,7.431458
99.918733,59,7.453958
67.830648,38,7.467391
148.05644,73,7.493751
211.189054,103,7.530603
213.90964,95,7.566379
122.464021,64,7.589368
111.506469,57,8.152677
224.769866,106,8.191851
230.285511,109,8.231127
226.481876,98,8.265811
106.898424,66,8.290891
229.756342,104,8.328303
83.323821,51,8.346794
59.148262,41,8.361541
175.68597,91,8.395962
146.63646,73,8.42286
188.222657,85,8.45413
217.852564,99,8.491703
225.105807,101,8.528383
115.856108,59,8.549635
88.691559,52,8.568035
90.857949,50,8.587302
211.459644,96,8.621459
145.140136,71,8.647547
