#{"t_start": 1726013511.7930896, "env_id": "CustomHopper-target-v0"}
r,l,t
7.182762,19,0.01389
11.227416,15,0.019656
6.303784,9,0.023187
30.000718,25,0.032026
9.46076,13,0.036746
11.792876,20,0.044043
10.24487,13,0.048965
14.924465,30,0.059853
6.33703,9,0.062996
10.642889,14,0.067996
7.72761,14,0.07313
7.333463,11,0.077143
9.464357,37,0.090377
14.466316,19,0.09725
9.103997,14,0.10228
20.745128,26,0.113404
16.65639,25,0.122346
7.023856,16,0.128159
7.368798,12,0.132526
13.27053,18,0.139198
34.096762,35,0.152132
7.71455,11,0.156147
7.942585,13,0.16086
12.657625,16,0.16658
7.550249,9,0.169738
25.439587,22,0.177608
9.138058,17,0.183744
17.532544,19,0.19064
13.127366,28,0.200625
16.67786,24,0.211145
10.884124,18,0.217703
15.919786,22,0.22571
13.424782,16,0.231398
23.764669,28,0.241593
10.839871,18,0.248484
5.04212,7,0.251289
19.851528,18,0.25768
10.317213,15,0.262996
8.860934,11,0.266888
8.72507,15,0.272418
25.444322,22,0.280188
6.872296,10,0.283939
51.713673,39,0.297522
7.6111,9,0.300805
10.926419,13,0.305425
23.561844,25,0.31607
10.880235,13,0.320744
9.81978,22,0.328497
7.401765,10,0.332081
51.751604,67,0.356675
13.216758,14,0.361881
25.412952,41,0.376757
34.229688,32,0.388248
93.139631,59,0.410907
8.134987,10,0.414607
9.923274,15,0.420033
9.210084,16,0.425742
9.025706,12,0.429997
11.518145,27,0.439498
8.463303,10,0.443182
20.760336,24,0.452084
7.809117,13,0.457373
4.803304,22,0.465306
5.7647,9,0.468526
16.3201,21,0.476127
4.760777,26,0.485546
12.70277,19,0.49233
41.434162,30,0.503035
3.813719,16,0.508895
6.302927,8,0.51344
7.734397,10,0.517113
9.507285,19,0.523918
32.852163,30,0.534596
10.327051,14,0.539586
6.190947,11,0.543616
9.066157,13,0.548462
15.726622,20,0.555972
23.273387,22,0.563769
6.29389,12,0.568195
10.011399,16,0.573888
15.377102,21,0.581512
10.546329,16,0.587251
5.982553,9,0.590459
14.654981,17,0.596508
6.65283,9,0.599753
9.763272,17,0.605906
7.492839,10,0.609571
4.894626,8,0.614072
5.938878,8,0.617132
9.758099,13,0.621792
6.92317,14,0.626899
32.716757,28,0.636821
7.147467,13,0.641558
16.55537,40,0.656173
6.2942,9,0.659473
13.351011,16,0.665016
8.035703,24,0.673755
10.140585,34,0.685829
16.236549,18,0.692267
52.484529,37,0.705612
115.00046,73,0.733133
11.612354,32,0.744701
12.242361,14,0.749803
90.383848,58,1.344973
10.165658,25,1.354352
40.300392,33,1.365967
13.274511,17,1.372581
7.855526,12,1.376956
10.986614,19,1.383681
14.223917,24,1.392247
5.512002,10,1.395894
17.01621,18,1.402314
35.792377,30,1.413125
12.258216,23,1.421383
5.830392,8,1.424258
43.966826,34,1.437904
10.495344,21,1.445414
44.316958,35,1.457714
5.924055,9,1.46096
8.136612,12,1.465602
38.216124,37,1.479612
47.459899,39,1.493336
4.867981,9,1.496652
24.236419,30,1.507349
7.156911,10,1.51088
22.787183,23,1.519091
11.454314,16,1.52477
70.045208,49,1.543713
10.654317,22,1.551661
37.806248,32,1.562832
13.994813,24,1.571766
17.466146,17,1.577834
7.363238,10,1.581515
9.205732,19,1.5898
8.789218,10,1.59339
7.627098,11,1.597272
6.960468,9,1.600431
13.853982,16,1.606131
88.85897,51,1.624246
97.866157,55,1.645055
96.331252,55,1.664475
100.604811,64,1.688759
38.660345,33,1.700632
16.855436,17,1.706823
22.139579,19,1.713808
63.660584,48,1.730659
15.451859,18,1.738943
5.809266,13,1.743689
12.396853,15,1.748919
127.03656,65,1.771862
13.093325,16,1.777761
45.605797,42,1.793127
18.684471,21,1.800892
9.035888,11,1.804855
22.019434,20,1.811931
23.244368,23,1.820128
138.697739,76,1.848329
5.901091,22,1.856144
176.24192,106,1.893614
16.448584,17,1.899692
8.749518,24,1.908066
10.365062,12,1.912303
68.150117,43,1.927444
9.685833,17,1.933511
