#{"t_start": 1724744570.4560468, "env_id": "CustomHopper-source-v0"}
r,l,t
12.082574,15,0.922334
15.692761,17,0.932076
41.990323,30,0.948333
4.939447,17,0.96017
28.715845,24,0.971989
21.685367,21,0.982686
8.725083,15,0.993215
4.576014,10,0.998696
3.174234,10,1.004228
28.040807,24,1.018767
19.842703,25,1.030861
10.235244,16,1.03922
13.070087,13,1.050163
10.587473,13,1.057259
11.254912,20,1.067443
48.493048,38,1.088606
4.822607,8,1.093341
12.42496,18,1.102659
13.002366,19,1.11553
8.737864,14,1.122927
12.531808,16,1.131345
16.941477,19,1.144077
4.513442,11,1.150558
16.406779,20,1.160733
11.769354,30,1.178756
9.45094,31,1.194051
2.803169,24,1.209474
6.70083,23,1.22111
19.413153,19,1.230887
24.945181,29,1.249605
26.917348,26,1.263073
6.385455,13,1.27429
12.694364,17,1.283149
23.584105,27,1.296712
94.048142,57,1.326441
8.763623,11,1.337008
5.921588,10,1.342911
5.533647,13,1.350838
16.624901,17,1.363712
17.970666,19,1.37333
18.659635,17,1.382221
20.038105,43,1.406884
7.076852,14,1.414737
13.721176,17,1.427769
17.446734,19,1.437961
8.458994,10,1.443986
13.002572,18,1.454698
4.849747,9,1.463409
10.094944,18,1.472758
6.900136,11,1.479192
43.523904,51,1.505677
11.438495,20,1.515781
8.711206,19,1.528165
6.258497,14,1.535714
7.061522,17,1.545547
30.080175,26,1.562517
5.895146,23,1.574621
11.038758,25,1.59023
27.852817,26,1.603835
14.504193,19,1.616495
13.54937,18,1.626416
8.07729,16,1.635342
11.349327,14,1.64316
5.214677,17,1.655146
10.612251,17,1.664743
8.646454,24,1.680228
12.923601,16,1.689215
10.687113,12,1.69616
6.215373,9,1.70164
22.703963,30,1.719517
15.3455,16,1.72863
25.575796,28,1.745733
19.353531,20,1.757836
8.387941,18,1.766989
8.295652,12,1.776181
13.157286,17,1.785182
9.039966,16,1.793147
12.278219,21,1.806069
8.826797,11,1.812227
10.766232,12,1.818763
13.894542,15,1.826722
31.032061,52,1.855273
8.621934,13,1.862302
7.939697,10,1.870034
28.429875,40,1.889332
3.525847,9,1.89439
28.373232,26,1.909698
47.080315,37,1.930872
14.398897,17,1.940055
63.419253,43,1.964785
6.29893,11,1.970727
4.174651,7,1.974887
13.852708,17,1.983441
14.808471,17,1.996066
7.349765,12,2.002611
25.566757,22,2.013791
6.864676,11,2.019583
15.58427,15,2.030082
10.125683,14,2.037483
9.10234,12,2.044001
21.485747,36,2.064764
18.8472,29,2.078952
71.177639,38,2.711102
2.761558,7,2.716046
50.224258,36,2.736921
31.529917,46,2.763607
5.101879,9,2.768795
22.351218,22,2.779315
8.462716,14,2.789005
